track_artist,track_popularity,track_album_release_date
Winona Oak,57,2020-01-10
Kevitch,54,2019-12-29
Superheart,48,2019-12-30
Henry Park,44,2019-06-01
Caitlyn Smith,50,2020-01-10
chloe moriondo,57,2020-01-10
Amtrac,58,2020-01-03
RAT BOY,52,2020-01-03
Royal & the Serpent,48,2020-01-10
PVRIS,52,2020-01-10
Trove,50,2020-01-03
Set It Off,57,2020-01-03
guardin,55,2020-01-03
Devon Gilfillian,49,2020-01-10
ripmattblack,49,2020-01-08
EDEN KAI,48,2020-01-02
Sofi Tukker,9,2020-01-10
Cienfue,49,2020-01-03
A R I Z O N A,40,2020-01-02
Niykee Heaton,47,2020-01-01
Marianas Trench,47,2020-01-07
Yung Scuff,47,2020-01-02
Bohdi,44,2020-01-01
Gavin Haley,34,2020-01-08
Noah Neiman,48,2020-01-08
Walk Off the Earth,51,2020-01-03
COUNTERFEIT.,50,2020-01-03
PLVTINUM,55,2020-01-10
Beach Bunny,52,2020-01-10
Jake Isaac,48,2020-01-10
Jacquie,46,2020-01-10
blackbear,68,2020-01-16
Dexter,49,2020-01-10
Elijah Midjord,44,2019-12-30
Tove Lo,63,2020-01-15
Tori Templet,45,2020-01-03
Loote,52,2019-12-27
Marcus King,49,2020-01-10
Super Whatevr,46,2020-01-07
Brooke,37,2019-12-27
Gamma Skies,47,2019-12-13
COIN,54,2020-01-16
Adam Jensen,47,2019-12-23
Lauren Sanderson,49,2020-01-13
Blanks,49,2020-01-10
Jae Jin,41,2020-01-03
Ed Whicher,38,2019-12-20
MOTHXR,49,2016-02-26
Mattia Pironti,40,2020-01-03
Lizzy McAlpine,50,2019-12-19
Matt Walden,38,2019-12-27
Evie Clair,41,2020-01-01
All Harlem Music,41,2019-12-30
Cody Francis,42,2020-01-03
Miki Ratsula,38,2019-11-15
The Summercamp,41,2019-01-03
Jaymes Young,65,2019-07-12
The Chainsmokers,73,2015-06-16
Selena Gomez,68,2015-10-09
Of Monsters and Men,5,2015-06-05
Of Monsters and Men,4,2015-06-05
Of Monsters and Men,4,2015-06-05
Of Monsters and Men,3,2015-06-05
Of Monsters and Men,4,2015-06-05
Of Monsters and Men,0,2015-06-05
Of Monsters and Men,61,2012-01-01
Of Monsters and Men,75,2012-01-01
Shakira,2,2016-01-08
WALK THE MOON,9,2014-09-10
Clean Bandit,72,2014-01-17
Flo Rida,76,2015-04-07
DNCE,10,2015-10-23
The Chainsmokers,81,2016-02-05
Daya,11,2015-09-04
Daya,5,2015-09-04
Twenty One Pilots,83,2015-05-15
Lin-Manuel Miranda,69,2015-09-25
Renée Elise Goldsberry,68,2015-09-25
Lin-Manuel Miranda,65,2015-09-25
Leslie Odom Jr.,66,2015-09-25
Leslie Odom Jr.,64,2015-09-25
Alan Silvestri,45,2013-03-15
Loonie,50,2013-01-01
Twenty One Pilots,81,2016-06-16
Alessia Cara,73,2015-11-13
Calvin Harris,79,2016-04-29
Shawn Mendes,13,2016-06-03
Cash Cash,7,2016-09-02
Ariana Grande,79,2016-05-20
Coldplay,71,2016-03-25
Imagine Dragons,14,2012-09-04
American Authors,16,2014-01-01
Kungs,8,2016-02-19
Anthem Academy,0,2015-06-15
Hailee Steinfeld,0,2016-07-15
Delta Rae,44,2015-04-07
Woodlock,19,2015-09-18
Dresses,33,2015-10-23
Sawyer Fredericks,43,2016-05-13
Built By Titan,30,2015-10-12
Gentle Bones,38,2015-09-11
Imaginary Future,33,2015-03-24
Walk Off the Earth,45,2015-06-12
The Cocktails,34,2011-12-09
Andrew Simple,0,2016-04-22
SafetySuit,42,2015-10-23
Charles William,5,2015-03-23
WILD,9,2015-12-16
The Strumbellas,8,2016-04-22
The 1975,63,2016-02-26
BØRNS,54,2015-10-16
Rachel Platten,64,2016-01-01
Graham Colton,50,2016-03-04
Jacob Whitesides,0,2015-10-23
P!nk,70,2016-04-15
Twenty One Pilots,81,2015-05-15
Like Swimming,13,2015-09-11
Sara Hartman,1,2015-11-13
Christian Burghardt,30,2014-07-17
Wolfside,17,2016-02-05
Catey Shaw,27,2014-09-09
Oh Honey,0,2015-03-23
Regina Spektor,50,2016-08-05
Valley,0,2015-04-22
The Tragic Thrills,0,2014-09-30
Connell Cruise,36,2015-02-24
Ezra Vine,60,2014-09-05
Carly Rae Jepsen,62,2015-08-21
Panic! At The Disco,72,2013-10-04
Simple Plan,41,2016-03-25
Machine Gun Kelly,6,2016-10-14
Sheppard,13,2014-01-01
The Hunts,44,2015-06-09
LEVV,16,2015-09-11
Grant Terry,0,2014-05-06
The Ransom Collective,42,2014-09-20
R. City,73,2015-10-09
Icona Pop,66,2012-06-19
Charli XCX,46,2014-12-15
Gwen Stefani,51,2004-10-27
Little Big Town,0,2016-10-20
Firewoodisland,11,2016-04-22
St. Lucia,10,2016-02-19
Trevor Dahl,0,2015-11-27
Lion-S,13,2016-07-05
Tall Tree Tales,17,2016-04-04
Kacey Musgraves,52,2015-06-23
Ivory Layne,40,2014-08-19
WALLA,49,2015-01-19
Matthew Mole,16,2014-02-24
The Colourist,0,2015-07-31
Ryan Cabrera,30,2014-10-22
Passion Pit,68,2012-07-20
Foster The People,74,2017-07-21
HUNNY,63,2016-04-08
DREAMERS,61,2016-08-26
Lauv,62,2018-05-31
Cage The Elephant,72,2015-12-18
Oh Wonder,66,2015-09-04
BØRNS,75,2015-10-16
Cold War Kids,67,2014-10-31
Foster The People,83,2011-05-23
MGMT,76,2007-12-14
Arctic Monkeys,66,2007-04-24
M83,71,2011
Young the Giant,66,2016-08-12
Mt. Joy,64,2017-01-18
Lewis Del Mar,57,2016-10-07
Eden Project,52,2016-05-13
The Band CAMINO,55,2017-05-12
Seafret,64,2016-01-29
Jaymes Young,66,2014-09-28
Brandyn Burnette,41,2015-11-13
Sundara Karma,47,2017-01-06
Night Riots,38,2017-03-07
Cold War Kids,61,2017-04-07
Young the Giant,64,2011
Grouplove,53,2017-08-17
Grouplove,55,2017-08-17
MGMT,77,2007-12-14
Franz Ferdinand,73,2004
DREAMERS,56,2016-08-26
Weezer,57,2017-10-27
Weezer,75,2001-05-15
Cage The Elephant,68,2015-12-18
The Neighbourhood,81,2013-04-19
WALK THE MOON,59,2017-11-10
The Revivalists,69,2015-07-15
Wallows,68,2017-04-12
Young the Giant,60,2016-08-12
The Wrecks,57,2017-02-10
Poolside,63,2019-07-24
Mike Mains & The Branches,35,2014-02-18
Mike Mains & The Branches,32,2019-04-05
Mike Mains & The Branches,33,2019-04-05
Adam Jensen,55,2017-04-20
alt-J,73,2012-09-18
Grace VanderWaal,63,2016-11-18
Lemaitre,40,2013-03-04
Lemaitre,0,2010-12-20
Lemaitre,0,2010-12-20
Two Door Cinema Club,0,2010-04-20
Phoenix,2,2009-01-01
Phoenix,57,2000-03-06
Le Youth,51,2013-06-28
Goldroom,36,2012-11-04
Chromatics,0,2013-05-17
Ella Henderson,50,2014-06-06
CHVRCHES,3,2013-01-01
Washed Out,4,2010-03-01
Nick Murphy / Chet Faker,61,2014-04-14
Nick Murphy / Chet Faker,44,2014-04-14
Glass Animals,7,2014-05-30
Goldroom,2,2013-09-09
Benjamin Francis Leftwich,48,2014-09-22
Panama Wedding,0,2014-01-01
Shift K3Y,30,2015-04-10
Marvin Gaye,53,2015-04-27
Porter Robinson,0,2014-01-01
Shura,0,2015-03-10
Shura,0,2014-01-01
Fryars,0,2014-07-21
Purity Ring,0,2014-12-04
Young Empires,0,2015-02-20
Tuxedo,1,2014-11-17
Chromeo,42,2014-05-07
Blonde,43,2015-04-19
Ben Khan,34,2014-05-05
Joe Hertz,0,2013-11-10
Banoffee,33,2015-10-02
Låpsley,45,2015-08-20
Carmada,37,2014-12-05
LANY,0,2014-04-22
Tom Aspaul,22,2013-10-14
JOY.,0,2014-10-28
Wet,2,2015-04-22
Elli Ingram,26,2013-01-01
Halsey,1,2015-03-03
Scavenger Hunt,30,2015-01-09
Panama Wedding,0,2015-01-01
Panama Wedding,0,2015-11-06
DWNTWN,12,2012-11-13
Troye Sivan,1,2015-09-04
The 1975,37,2015-12-11
Great Good Fine Ok,35,2014-10-07
Great Good Fine Ok,34,2014-10-07
ASTR,43,2014-01-21
BANKS,57,2013-08-13
Yeah Boy,23,2015-07-31
The Japanese House,0,2015-09-15
Electric Youth,0,2014
Darkly,0,2015-10-23
The Him,1,2015-11-30
Kasket Club,16,2015
machineheart,0,2015-03-19
Wonderful Humans,15,2014-05-08
Aquilo,39,2015-05-11
Dirty South,48,2015-04-28
Satchmode,21,2015-08-25
Anna of the North,53,2014-10-07
The Erised,24,2015-02-02
White Arrows,24,2014-09-16
Virginia To Vegas,29,2014-11-10
Ghost Loft,34,2015-02-10
Matthew Koma,30,2015-08-14
Flyte,0,2015-01-13
The Knocks,29,2014-11-04
Panama Wedding,0,2014-01-01
MUNA,0,2015-09-09
Lisbon,25,2014-12-01
Andrew Ripp,2,2015-10-16
Fred V & Grafix,0,2014-03-31
Paperwhite,29,2014-11-17
Great Good Fine Ok,22,2016-03-01
Alfie Connor,36,2015-12-11
Alfie Connor,24,2015-02-24
FRENSHIP,41,2014-06-03
Matoma,41,2015-10-16
LANY,0,2015-05-19
Olivver the Kid,32,2014-10-28
Duck House,18,2015-09-11
Shura,2,2016-02-18
LANY,3,2015-12-11
Crystal Bats,0,2013-12-16
St. Lucia,52,2013-10-04
Great Good Fine Ok,31,2014-10-07
Kaptan,0,2015-06-23
The Midnight,48,2015-11-28
The Midnight,1,2014-07-15
Viigo,44,2016-03-11
Greyson Chance,39,2015-10-29
Frida Sundemo,0,2014-05-05
Panama Wedding,0,2014-01-01
Great Good Fine Ok,33,2016-05-16
Capital Cities,45,2013
JR JR,26,2013-10-08
Of Monsters and Men,45,2012-01-01
Bad Suns,51,2016-09-16
Bad Suns,0,2015-01-30
San Cisco,34,2016-10-07
St. Lucia,37,2016-01-29
The Griswolds,17,2015-05-22
STRFKR,36,2008-09-23
Oh Wonder,0,2017-03-24
Wild Party,47,2014-10-07
The Killers,64,2013-01-01
The Strokes,61,2003-10-28
dodie,58,2016-11-18
Wild Party,46,2014-10-07
Jon Bellion,54,2014-09-23
Kina Grannis,43,2010
Gorillaz,75,2010-03-03
Chase Atlantic,69,2015-02-21
Adele,0,2008-01-28
Frank Ocean,65,2012-01-01
Childish Gambino,10,2014-10-03
FrankJavCee,45,2017-07-04
Mallory Merk,0,2016-08-21
Childish Gambino,0,2014-10-03
Childish Gambino,1,2014-10-03
Thomas Sanders,56,2017-07-27
dodie,58,2017-08-11
dodie,65,2017-08-11
dodie,54,2017-08-11
Troye Sivan,55,2015-12-04
"Tyler, The Creator",79,2017-07-21
Rex Orange County,81,2017-01-25
Declan McKenna,59,2017-07-21
Declan McKenna,50,2017-07-21
SZA,76,2017-12-15
Declan McKenna,68,2017-07-21
Rex Orange County,63,2017-04-26
Khalid,65,2017-04-27
Cyberbully Mom Club,39,2015-01-21
Billie Eilish,80,2017-12-22
Lorde,66,2013-01-01
Lorde,62,2017-11-10
Lorde,58,2013-01-01
Khalid,71,2017-04-27
Post Malone,78,2018-04-27
Soy Christmas,33,2016-12-06
Handsome Ghost,39,2015-03-10
SALES,52,2014-09-22
Watsky,22,2013-01-01
Khalid,75,2017-04-27
Daniel Caesar,79,2017-08-25
Tommy Newport,0,2018-10-12
dodie,58,2018-01-01
Khalid,67,2018-10-19
FINNEAS,77,2018-10-19
Rex Orange County,79,2017-03-22
boy pablo,70,2017-05-19
chloe moriondo,60,2018-07-31
Monsune,52,2017-10-13
Johnny Balik,55,2018-01-26
Muskoka,1,2016-08-29
chloe moriondo,48,2018-07-31
chloe moriondo,47,2018-07-31
Angus Maude,0,2017-09-22
Conan Gray,0,2018-10-26
Illa J,0,2018-11-16
Billie Eilish,76,2017-12-22
Omar Apollo,1,2017-08-08
boy pablo,68,2017-05-19
MAGIC!,39,2014-06-25
Lady Gaga,78,2018-10-05
Harry Styles,71,2017-05-12
Joji,76,2018-10-26
Aries,53,2018-04-11
boy pablo,65,2018-10-05
Dijon,67,2018-04-19
RIZ LA VIE,1,2017-01-17
Phum Viphurit,67,2018-03-22
Dijon,57,2018-09-20
Childish Gambino,2,2016-12-02
Khalid,72,2018-10-19
Andrew Bird,38,2008
Cobi,53,2016-05-06
"Tyler, The Creator",74,2017-07-21
Rex Orange County,59,2016-11-07
Rex Orange County,80,2017-10-11
Rex Orange County,75,2016-11-07
Rex Orange County,62,2017-04-26
Rex Orange County,64,2017-04-26
Frank Ocean,77,2016-08-20
Dijon,39,2019-02-06
Liltrxptendo,33,2018-10-24
Dijon,48,2017-10-18
Aeris Roves,49,2018-11-02
Pretty Lights,56,2013-12-10
Pretty Lights,36,2014-01-01
Galantis,72,2016-04-01
Galantis,74,2015-06-05
Vicetone,1,2015-02-02
Zara Larsson,14,2015-09-10
ZHU,44,2016-02-12
Lindsey Stirling,55,2012
Lindsey Stirling,51,2012
Hippie Sabotage,3,2014-03-11
Just A Gent,47,2014-10-17
ROZES,39,2015-08-24
Lost Kings,42,2016-11-18
Autograf,40,2015-10-06
Lostboycrow,18,2016-10-21
Jane XØ,39,2016-11-11
What So Not,62,2013-10-08
What So Not,57,2015-04-03
Zeds Dead,58,2016-10-14
NGHTMRE,63,2016-10-26
Alison Wonderland,44,2015-03-20
Louis Futon,47,2016-02-12
San Holo,68,2017-02-10
San Holo,63,2015-02-23
Macklemore & Ryan Lewis,39,2012-10-10
Swedish House Mafia,67,2011-05-13
RAC,49,2014-01-01
Strange Talk,0,2014-04-29
Panama Wedding,0,2015-11-06
Magic Man,53,2014-07-07
Pacific Air,25,2013-01-01
Pacific Air,19,2013-01-01
Pacific Air,26,2013-01-01
Flux Pavilion,55,2015-09-18
Manila Killa,9,2016-07-19
Danrell,37,2017-02-20
Zeds Dead,44,2016-10-14
Flo Rida,76,2012-06-22
Snakehips,74,2015-10-21
Mako,16,2017-04-14
Zedd,74,2012-01-01
Zedd,62,2012-01-01
OneRepublic,70,2009-01-01
Calvin Harris,49,2014-10-31
B.o.B,40,2012-04-27
Bohdi,27,2017-03-30
Sigala,50,2017-02-03
Miami Horror,26,2015-04-07
Calvin Harris,74,2017-02-24
Lostboycrow,23,2016-01-15
Win and Woo,37,2016-09-01
Chelsea Cutler,23,2016-10-07
The Fray,74,2009-01-30
Whethan,53,2017-06-27
Alina Baraz,5,2017-01-20
A R I Z O N A,54,2017-05-19
Matt and Kim,45,2010-11-02
Matt and Kim,32,2012-10-02
Lostboycrow,10,2016-05-12
The Spacies,0,2016-10-25
Griffin Stoller,40,2017-01-23
French Montana,14,2017
MisterWives,54,2017-05-19
GRiZ,45,2016-09-23
GRiZ,42,2016-09-23
The Knocks,35,2016-03-04
GRiZ,38,2015-03-31
Manila Killa,43,2017-04-28
Hayley Kiyoko,32,2017-02-17
Far East Movement,40,2016-07-22
ayokay,43,2016-10-07
Dropout,30,2016-06-11
Penguin Prison,43,2015-05-01
Jamie xx,57,2015-06-02
ZHU,54,2014-09-15
Felix Cartal,0,2017-06-09
Major Lazer,2,2013-04-16
Smallpools,22,2017-09-22
NVDES,17,2017-07-20
Passion Pit,43,2009
The Temper Trap,64,2009-03-24
Digitalism,41,2014-05-06
Adventure Club,1,2013-10-22
RAC,31,2017-07-13
Elephante,0,2016-12-14
Griffin Stoller,42,2017-06-14
Gigamesh,0,2016-10-21
Smallpools,26,2017-10-27
Chet Porter,0,2016-04-14
CAZZETTE,32,2017-04-14
Smallpools,47,2017-11-17
Max Frost,43,2015-09-25
Bad Feelings,20,2016-05-25
TENDER,34,2016-09-20
TENDER,48,2016-08-03
TENDER,48,2017-09-01
TENDER,43,2016-01-04
TENDER,22,2018-09-26
TENDER,28,2016-02-12
TENDER,35,2015-09-13
TENDER,29,2016-02-12
TENDER,26,2019-05-31
TENDER,32,2017-09-01
TENDER,25,2019-01-18
TENDER,37,2016-11-04
TENDER,34,2016-02-12
TENDER,39,2017-09-01
TENDER,25,2017-09-01
Claptone,43,2018-06-08
LEISURE,2,2016-10-21
LEISURE,2,2016-10-21
LEISURE,8,2017-09-08
Her,1,2016-01-15
Rhye,2,2013-01-01
Rhye,64,2013-01-01
Rhye,60,2018-02-02
Rhye,41,2018-02-02
Rhye,58,2018-02-02
Rhye,6,2013-01-01
Rhye,1,2018-02-02
Rhye,57,2013-01-01
Agar Agar,57,2016-04-22
Agar Agar,56,2017-02-08
Agar Agar,45,2018-09-28
Agar Agar,56,2016-09-28
Fishbach,33,2018-02-02
Fishbach,29,2018-02-02
Fishbach,31,2017-01-27
Billie Eilish,95,2019-03-29
Billie Eilish,97,2019-11-13
Billie Eilish,87,2019-03-29
Billie Eilish,84,2019-03-29
Billie Eilish,86,2019-03-29
St Francis Hotel,0,2016-12-02
Pale,39,2013-03-12
Sports,57,2015-07-24
Emmit Fenn,43,2017-06-21
Son Lux,59,2013-10-29
Jabberwocky,3,2014-01-01
Beasts With No Name,28,2016-06-06
Alex Da Kid,0,2017-02-24
Beach House,33,2015-10-16
Jacob Banks,3,2017-04-20
Tommy,26,2016-02-27
Kavinsky,58,2013-01-01
iiola,31,2018-07-06
Two Feet,2,2016-07-29
Two Feet,4,2017-05-19
Two Feet,5,2017-05-19
Two Feet,5,2016-07-29
Two Feet,13,2016-07-29
Two Feet,8,2016-07-29
Friends In Paris,45,2017-03-24
Cigarettes After Sex,3,2012-07-21
Cigarettes After Sex,38,2017-05-16
Cigarettes After Sex,61,2015
MILCK,52,2016-01-11
BØRNS,0,2018-01-12
Emmit Fenn,52,2015-11-12
Chromatics,56,2012-03-26
RY X,5,2016-05-06
Beach House,35,2015-10-16
Glass Animals,61,2014-06-03
Skott,42,2016-07-27
Elliot Moss,55,2015-07-06
Tash Sultana,7,2016-09-06
DARKSIDE,54,2013-10-04
Les Deux Love Orchestra,39,2008-01-01
DARKSIDE,49,2011-11-17
Elderbrook,12,2015-06-25
The xx,63,2017-01-13
Claptone,44,2018-06-08
Claptone,34,2018-06-08
Claptone,46,2018-06-08
slenderbodies,0,2018-07-20
EZA,2,2017-05-19
Tora,1,2017-06-09
Emmit Fenn,38,2017-06-21
LEISURE,10,2016-10-21
Mansionair,5,2016-10-17
Glass Animals,2,2016-07-18
TENDER,23,2018-09-26
Justice,44,2016-11-18
Two Feet,8,2017-11-10
Beach House,47,2015-08-28
Geoffroy,39,2017-03-10
slenderbodies,40,2017-11-08
Glass Animals,63,2016-08-26
Isaac Delusion,49,2017-04-07
Zola Blood,2,2017-05-26
TENDER,28,2018-10-31
Elliot Moss,56,2015-04-28
Astrid S,32,2015-10-23
Mike Posner,17,2015-07-24
Lady Antebellum,15,2010-01-01
Emile Haynie,0,2015-02-24
The White Raven,20,2014-06-02
gnash,4,2016-02-17
Sylvan Esso,0,2014-01-01
Matt Simons,11,2015-09-18
Michael Andrews,2,2002-04-02
Radiohead,3,1995-03-28
MARINA,53,2015-03-13
Fleurie,47,2016-01-01
Radiohead,45,2016-05-03
Paperwhite,18,2016-05-10
Paperwhite,17,2016-05-10
Paperwhite,19,2016-05-10
Paperwhite,27,2016-05-10
Clarens,11,2016-05-27
Gary Jules,70,2002-01-01
Otto Knows,57,2016-01-15
MNEK,0,2016-05-13
Jason Mraz,82,2008-05-12
Lily Allen,57,2009-11-16
Lykke Li,42,2008
Mike Posner,12,2016-08-19
Giraffage,0,2016-08-15
Bridgit Mendler,1,2016-08-26
Radiohead,0,2014-01-08
Young the Giant,23,2016-08-05
Linying,0,2016-09-30
Linying,0,2016-09-30
EDEN,1,2016-08-19
James Hersey,1,2016-08-19
Mansionair,3,2015-10-02
BANKS,1,2016-08-02
Natali Felicia,1,2015-08-05
Susie Suh,57,2014-05-19
Hana Oceans,2,2015-06-30
Astrid S,10,2016-05-20
FRENSHIP,5,2016-04-15
Agnes Obel,43,2016-10-21
Agnes Obel,60,2016-10-21
Agnes Obel,44,2016-10-21
Agnes Obel,52,2016-10-21
Agnes Obel,45,2016-10-21
Agnes Obel,37,2016-10-21
Agnes Obel,42,2016-10-21
Agnes Obel,38,2016-10-21
Agnes Obel,35,2016-10-21
Agnes Obel,42,2016-10-21
Daughter,40,2016-10-14
BANKS,1,2016-09-30
BANKS,0,2016-09-30
BANKS,3,2016-09-30
BANKS,1,2016-09-30
BANKS,0,2016-09-30
BANKS,0,2016-09-30
BANKS,0,2016-09-30
BANKS,0,2016-09-30
BANKS,0,2016-09-30
BANKS,0,2016-09-30
BANKS,0,2016-09-30
BANKS,0,2016-09-30
BANKS,0,2016-09-30
Tom Odell,63,2016-09-30
The Head and the Heart,0,2016-08-26
Tep No,39,2015-09-02
Trent Reznor and Atticus Ross,33,2016-10-28
Sigma,4,2016-11-04
The xx,7,2016-11-10
Kota Banks,2,2016-10-07
Gabrielle Aplin,0,2016-11-09
Maggie Rogers,0,2016-11-03
Aquilo,5,2016-11-11
MS MR,26,2015-07-24
Charlene Soraia,0,2015-09-11
Lights,33,2014-09-19
Norma Jean Martine,0,2016-11-25
Rhys,45,2016-11-25
Majik,0,2015-09-23
Kaleida,0,2015-11-03
Blue Hawaii,24,2013-03-05
Noah Cyrus,69,2016-11-15
Giulia Becker,25,2016-12-01
Sjowgren,12,2015-06-11
Luke Thompson,43,2015-04-09
Birdy,66,2015-08-06
Skott,0,2016-07-27
Låpsley,53,2016-03-04
Nick Broadhurst,1,2015-11-12
Jarryd James,5,2015-09-03
Mavrick,0,2016-08-31
lovelytheband,35,2017-09-22
Bayonne,0,2017-10-26
Vacation Manor,0,2016-04-23
Apollo LTD,0,2017-08-25
Fickle Friends,0,2017-08-15
Fickle Friends,0,2017-06-15
Roy English,24,2017-06-02
KYOTI,8,2017-11-22
Miami Horror,0,2015-04-07
Atlas Genius,25,2013-02-19
Clubfeet,0,2013-09-02
Ralph,35,2017-02-15
Ralph,34,2016-08-03
joan,58,2017-07-25
Goldroom,0,2016-09-23
Apollo LTD,0,2018-03-09
The Knocks,62,2018-03-09
The Aces,36,2016-05-17
Crush Club,12,2016-09-09
Sam Padrul,35,2017-01-02
Great Good Fine Ok,30,2018-07-13
joan,9,2017-01-24
Vacation Manor,3,2017-09-29
The Black Keys,59,2010-05-18
The Knocks,40,2018-08-17
Ralph,31,2018-08-22
Apollo LTD,0,2018-03-09
LANY,8,2018-07-17
Great Good Fine Ok,32,2018-10-12
kwassa,0,2017-03-03
Glades,16,2016-10-14
Fickle Friends,28,2018-09-06
POWERS,51,2015-10-16
The Colourist,29,2013-01-01
XY&O,18,2017-09-15
Lost Kings,49,2017-12-08
Captain Cuts,42,2016-10-13
Foreign Air,45,2016-08-26
No Rome,68,2018-08-28
Shura,44,2016-07-08
Friendly Fires,46,2018-04-05
Gorgon City,43,2018-08-10
Jai Wolf,30,2019-01-14
Atlas Genius,46,2019-01-18
morgxn,56,2018-09-21
Skogsrå,34,2013-12-22
!!!,52,2013
Zac Samuel,38,2017-03-24
Betty Who,37,2019-01-10
Hotel Apache,26,2017-09-22
LANY,5,2018-09-12
EMBRZ,36,2018-06-08
joan,50,2019-02-01
Manila Killa,35,2019-02-22
Robotaki,24,2019-03-01
Lauv,62,2018-03-29
Annie Lux,33,2018-11-16
flor,46,2018-12-21
LANY,63,2018-10-05
LANY,62,2017-06-30
Apollo LTD,0,2018-08-24
Glades,35,2015-10-07
Pelicandy,9,2019-03-20
The Peach Fuzz,41,2019-04-12
Havelock,33,2019-03-27
Faye Webster,27,2019-05-02
Georgia,24,2019-03-28
Liimo,20,2019-03-29
Pelicandy,14,2019-05-23
Pelicandy,10,2017-05-30
Ralph,36,2018-09-28
The Aces,28,2018-04-06
joan,47,2018-07-11
Roosevelt,21,2018-09-28
Sam Padrul,26,2018-12-22
The 1975,8,2018-10-18
Fickle Friends,34,2018-03-16
PREP,56,2018-11-09
PREP,59,2016-01-01
PREP,47,2018-10-26
The 1975,65,2016-02-26
Foster The People,73,2019-06-21
Dayglow,25,2018-09-28
Foley,40,2019-06-28
Bad Actor,33,2019-06-01
Years & Years,55,2019-02-14
Fickle Friends,35,2018-03-16
Fickle Friends,40,2018-03-16
CHVRCHES,38,2018-05-25
No Rome,46,2018-05-24
Sky Ferreira,49,2013-01-01
Future,93,2020-01-10
Roddy Ricch,98,2019-12-06
Mac Miller,73,2020-01-17
Lil Uzi Vert,91,2019-12-12
Eminem,79,2020-01-17
Lil Baby,81,2020-01-10
Rich The Kid,64,2020-01-17
DaBaby,93,2019-09-27
Polo G,60,2020-01-17
Eminem,71,2020-01-17
YNW Melly,90,2019-11-22
JACKBOYS,87,2019-12-27
DaBaby,86,2019-09-27
2 Chainz,63,2020-01-17
Lil Baby,88,2019-11-08
Juice WRLD,92,2019-10-04
Flipp Dinero,80,2019-11-15
Roddy Ricch,84,2019-12-06
Trippie Redd,82,2019-11-12
Young Thug,86,2019-11-01
Baby Keem,83,2019-07-19
Roddy Ricch,83,2019-12-06
DaBaby,88,2019-09-27
Young Thug,82,2019-12-20
Stunna 4 Vegas,81,2019-11-08
Tee Grizzley,56,2020-01-17
Don Toliver,92,2019-05-29
Internet Money,83,2019-10-11
NLE Choppa,80,2019-12-10
Smokepurpp,74,2019-12-11
Moneybagg Yo,73,2020-01-03
YoungBoy Never Broke Again,84,2019-10-11
NLE Choppa,77,2019-12-06
Travis Scott,89,2019-12-27
Trippie Redd,83,2019-11-22
21 Savage,83,2019-10-31
YNW Melly,78,2019-11-22
Rod Wave,70,2019-11-01
A Boogie Wit da Hoodie,79,2019-11-15
Rich The Kid,75,2019-12-06
Lil Mosey,52,2019-06-07
Kash Doll,73,2019-10-18
Lil Tjay,78,2019-12-13
Russ,82,2019-10-18
Pardison Fontaine,72,2019-11-15
Fivio Foreign,73,2019-11-13
Pop Smoke,76,2019-07-26
Tyla Yaweh,77,2019-09-27
Don Toliver,83,2019-12-27
Kanye West,85,2019-10-25
DAO,35,2020-01-17
7apes,54,2018-08-19
FloFilz,53,2020-01-08
Summers Sons,33,2020-01-17
Funky Notes,56,2019-05-03
Testiculo y Uno,56,2019-12-18
Wun Two,44,2020-01-10
j'san,65,2018-04-26
Finesse,43,2020-01-07
LESKY,41,2020-01-15
Knowsum,31,2020-01-17
Fractite,31,2020-01-13
Leyze,43,2020-01-10
Green Assassin Dollar,44,2020-01-09
Beaumont,35,2020-01-13
No Spirit,60,2019-12-11
Katashi Kaitō,47,2020-01-03
Oilix,15,2019-02-26
Saib,59,2019-03-08
Gyvus,62,2018-06-23
Ozoyo,50,2019-12-27
Testiculo y Uno,48,2020-01-08
Funky Notes,56,2019-11-01
Cookin Soul,59,2019-12-18
Wun Two,56,2019-12-30
El Jazzy Chavo,41,2020-01-03
Moonspatz,44,2020-01-10
Max Keeble,40,2019-12-10
Knowsum,49,2019-12-25
Kevoe West,52,2019-12-06
Cap Kendricks,54,2019-12-20
DAO,61,2019-09-06
MF Eistee,53,2019-12-20
The Breed,49,2019-12-20
Burrito Brown,54,2019-10-06
Kazam,53,2019-12-18
Flughand,57,2019-11-20
Juan Rios,49,2019-11-11
digitalluc,57,2019-12-20
Melodiesinfonie,57,2019-12-20
Figub Brazlevic,53,2019-12-20
Moods,57,2019-12-16
Robot Orchestra,52,2019-12-16
Phlocalyst,56,2019-12-20
Wun Two,52,2019-12-13
Konteks,52,2019-12-20
Nokiaa,56,2019-12-20
High John,52,2019-12-20
Made in M,56,2019-12-15
Mr. Collage,51,2019-12-12
Tru Comers,51,2019-12-11
damaa.beats,52,2019-12-06
Tom Doolie,52,2019-12-09
lōland,52,2019-12-13
Figub Brazlevic,54,2019-11-22
n o r m a l,17,2019-04-09
Nobodys Face,50,2019-11-22
Otis Ubaka,51,2019-12-03
Kid Tarô,51,2019-12-06
Oatmello,57,2019-12-11
Mr. Käfer,58,2019-11-11
lōland,53,2019-11-15
Andrew Applepie,53,2019-10-11
Konteks,60,2018-12-14
DAO,61,2019-11-15
